医療法人社団　山田歯科医院,富山県高岡市本丸町13番39号,富山県,院長　山田　哲也,自己末梢血由来成分を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
徳丸歯科,愛知県春日井市南下原町5-4-1,愛知県,院長　徳丸　啓二,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団愛一会　さくら歯科クリニック,東京都練馬区大泉学園町五丁目7番1号　ラレ・デ・スリジィエ１階,東京都,院長　大橋　武治,自己末梢血由来成分を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
中澤歯科,千葉県八千代市八千代台南1-13-1,千葉県,院長　中澤　正博,自己末梢血由来成分を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
塩野谷歯科医院,千葉県八街市八街ほ244,千葉県,院長　塩野谷　暢利,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団タカシ歯科クリニック,香川県観音寺市坂本町三丁目7番21号,香川県,院長　昌山　孝,自己末梢血由来成分CGFを利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団佳明会　高島デンタルオフィス,東京都港区港南一丁目9番36号 NTTDATAビルアレア品川2階,東京都,院長　高島　義明,自己血由来血小板を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
たまち歯科医院,福島県西白河郡矢吹町田町191-4,福島県,院長　佐久間　弘,自家血小板含有フィブリンゲル（CGF：concentrated growth factors）を利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
柴崎歯科医院,東京都立川市柴崎町3-9-6　 高野ビル2F,東京都,院長　山本　眞紫,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人伊達デンタルクリニック,福島県伊達市岡前20-8,福島県,院長　浅野　栄一朗,自家多血小板フィブリン（PRF：Platelet Rich Fibrin）を利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
新城パーク歯科クリニック,神奈川県川崎市中原区上新城2-7-1,神奈川,院長　片岡　洋,PRF（自家多血小板フィブリン）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
上野歯科,東京都練馬区豊玉北1丁目2-17 テラスウィステリア1F,東京都,院長　上野　博司,自己血由来CGFを用いた口腔内組織の再生医療,東京形成歯科研究会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
小川歯科医院,広島県福山市松永町4-16-6,広島県,院長　小川　秀典,自己血由来血小板を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団鎌田歯科医院,北海道札幌市手稲区前田6条16丁目1－6,北海道,院長　鎌田 研祐,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
石川歯科医院,北海道江別市野幌町30-1,北海道,院長　石川 紘一,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人　添田歯科診療所,大阪府大阪市中央区難波三丁目5番17号 北極星ビルディング4F,大阪府,院長　添田 義博,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人ヒグチ歯科医院,大阪府岸和田市東大路町287番地,大阪府,院長　樋口 真弘,自己血由来成分PRPを用いた口腔内組織の再生医療,東京形成歯科研究会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人明仁会　アキチ歯科医院,神奈川県相模原市南区上鶴間本町8-14-16,神奈川,院長 　秋知 明,自己血由来成分CGFを利用した口腔内の骨及び軟組織の再生医療,東京形成歯科研究会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
ヨシダ歯科,北海道旭川市豊岡７条３丁目３番８号,北海道,院長　吉田　裕一,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団 梅村歯科医院,千葉県印旛郡酒々井町中央台２－１６－６,千葉県,院長　梅村　義成,PRF（自家多血小板フィブリン）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
シティタワー神戸三宮歯科,兵庫県神戸市中央区旭通4-1-2-103,兵庫県,杉岡伸悟,歯科口腔外科手術時のPRP療法,特定非営利活動法人先端医療推進機構　認定再生医療等委員会名古屋,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
河津歯科,神奈川県横浜市青葉区美しが丘西3-12-18,神奈川,河津千尋,自家多血小板血漿を用いた顎・口腔組織の再生医療,セレンクリニック認定再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
大町歯科加藤医院,北海道苫小牧市大町2丁目4番6号,北海道,院長　加藤　清志,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
東正歯科医院,長野県駒ヶ根市赤穂10737-1,長野県,院長　池上　正資,自己血由来血小板を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
渡辺歯科医院,広島県福山市沼隈町草深1870-6,広島県,院長　渡辺　禎之,自己血由来血小板を利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
丸の内歯科,香川県高松市丸の内11-15松浦ビル5Ｆ,香川県,院長　岡　左永子,自己血由来成分CGFを利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
世田谷歯科クリニック,東京都世田谷区世田谷3-16-15,東京都,院長　太田　州久,自己血由来血小板を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
村上歯科医院,宮城県仙台市若林区遠見塚3-15-20,宮城県,院長　村上　龍也,自己血由来多血小板フィブリン（PRF）を用いた口腔内組織の再生医療,東京形成歯科研究会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団壮葉会　八重洲歯科クリニック,東京都中央区京橋1-1-9 千疋屋ビル8階,東京都,院長　木村　陽介,PRP（自家多血小板血漿）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
ゆとり歯科医院,東京都国分寺市泉町3-1-17 カリーノ西国分寺1階,東京都,院長　羽田　裕二,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
犬飼歯科医院,愛知県名古屋市中区新栄1-9-17,愛知県,犬飼　丈晴,口腔インプラント治療に伴うPRF（Plate Rich Fibrin：自家多血小板フィブリン）法による顎骨再生術又は歯周組織再生術,オカムラ歯科認定再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人宇治山田歯科医院,三重県伊勢市岩渕2-4-37,三重県,院長　片山　昇,自己血由来成分PRGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人優美会　シラセ歯科,兵庫県神戸市北区唐櫃台2-11-15,兵庫県,理事長　白瀬　明,顎顔面口腔領域PRGF－Endoret療法,日本薬事法務学会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
さいとう歯科医院,東京都豊島区長崎4-7-11 マスターズ東長崎303,東京都,院長　斉藤　曜久,自己血由来血小板を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人伊達デンタルクリニック,福島県伊達市岡前20-8,福島県,院長　浅野　栄一朗,自家多血小板血漿（PRGF：Plasma Rich in Growth Factors）を利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人福正会　はやし歯科医院,福井県福井市花堂南1丁目11-34,福井県,院長　林　正人,自己血由来血小板を利用した口腔内の骨及び軟組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団耕生会　丸橋全人歯科,群馬県高崎市栄町21-1,群馬県,辻本　仁志,CGF（自家血小板含有フィブリンゲル）を使用した歯槽骨造成手術・上顎洞挙上術,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
中平歯科医院,和歌山県伊都郡かつらぎ町笠田東71-5,和歌山,院長　中平 良基,CGFを用いた歯周組織再生誘導手術(GTR),医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
いりの歯科医院,宮崎県宮崎市大塚町権現昔764-1,宮崎県,院長　入野　伸一,PRP（自家多血小板血漿）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団 梅村歯科医院,千葉県印旛郡酒々井町中央台２－１６－６,千葉県,院長　梅村　義成,PRP（自家多血小板血漿）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団橋本歯科医院,千葉県市川市大野町三丁目1797番地,千葉県,橋本　朋和,口腔インプラント治療に伴うCGF（Concentrated Growth Factors：自己血液由来血小板成長因子含有フィブリンゲル）法による顎骨再生術又は歯周組織再生術,オカムラ歯科認定再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団萬陽会 萬葉歯科医院,埼玉県所沢市緑町1-18-1 2F,埼玉県,院長　萬葉　陽巳,自己血由来血小板を含むCGFを用いた口腔内の骨及び軟組織の再生医療,東京形成歯科研究会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団伸治歯整会　新井歯科,東京都江戸川区東小岩一丁目4番4号,東京都,理事長　新井　伸治,顎顔面口腔領域PRGF－Endoret療法,日本薬事法務学会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
下高井戸歯科,東京都世田谷区赤堤4-33-5,東京都,宮澤　弘,口腔インプラント治療に伴うCGF（Concentrated Growth Factors：自己血液由来血小板成長因子含有フィブリンゲル）法による顎骨再生術又は歯周組織再生術,オカムラ歯科認定再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
ないき歯科クリニック,栃木県下野市小金井1-16-14,栃木県,院長　内木 唯詞,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団鎌田歯科医院,北海道札幌市手稲区前田6条16丁目1－6,北海道,院長　鎌田 研祐,PRGF（自家多血小板血漿）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
鈴木歯科医院,千葉県千葉市稲毛区小仲台2−5−3　 稲栄ビル6F,千葉県,院長　鈴木　常夫,自己血由来成分GRFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
大菅歯科医院,富山県下新川郡朝日町泊４５５－５,富山県,院長　大菅　明,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団健真美しらゆりビューティークリニック,東京都新宿区新宿2-11-14,東京都,院長　伊藤孝明,PRF（自家多血小板フィブリン）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
淀屋橋ブライト歯科,大阪府大阪市中央区今橋4-4-7 京阪神不動産淀屋橋ビル1F,大阪府,院長　石川　愼太郎,CGF（自家血小板含有フィブリンゲル）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
杉沢歯科医院,東京都杉並区下井草5-19-9　泉ビル1F,東京都,杉沢　正也,口腔インプラント治療に伴うCGF（Concentrated Growth Factors：自己血液由来血小板成長因子含有フィブリンゲル）法による顎骨再生術又は歯周組織再生術,オカムラ歯科認定再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
徳丸歯科,愛知県春日井市南下原町5-4-1,愛知県,院長　徳丸　啓二,PRP（自家多血小板血漿）を利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
すずき歯科クリニック,愛知県あま市小路3丁目9-9,愛知県,鈴木憲一,自家多血小板フィブリン（PRF）を用いた顎骨増生,医療法人岡田歯科医院認定再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
久歯科クリニック,愛知県豊田市丸山町1-54-3,愛知県,加藤久典,自家多血小板フィブリン（PRF）を用いた顎骨増生,医療法人岡田歯科医院認定再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
新城パーク歯科クリニック,神奈川県川崎市中原区上新城2-7-1,神奈川,院長　片岡　洋,PRP（自家多血小板フィブリン）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
松尾歯科クリニック,山口県宇部市寿町3丁目7-11,山口県,院長　松尾　明,PRP（自家多血小板血漿）を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
成田歯科クリニック,愛知県愛知県みよし市三好町青木88番地アイ・モール1F,愛知県,成田潔治,自家多血小板フィブリン（PRF）を用いた顎骨増生,医療法人岡田歯科医院認定再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
医療法人社団　川原歯科医院,神奈川県横浜市青葉区青葉台2-12-11,神奈川,院長　川原　淳,完全自己血由来のフィブリンゲルCGF（Concentrated Growth Factors 濃縮成長因子）を利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
タカサゴデンタルオフィス,大分県大分市高砂町1番5号　 大川産婦人科・小児科　高砂ビル7階,大分県,院長　近藤　剛史,自己血由来血小板を用いた口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
たなか歯科クリニック,愛知県愛知県弥富市平島中4-108,愛知県,田中陽平,自家多血小板フィブリン（PRF）を用いた顎骨増生,医療法人岡田歯科医院認定再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
清河歯科医院,千葉県印旛郡栄町安食台4-39-3,千葉県,院長　清河　建明,自己血由来血小板を用いた口腔内の骨及び軟組織の再生医療,東京形成歯科研究会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
おたべ歯科クリニック,宮城県柴田郡柴田町槻木白幡2-3-32,宮城県,院長　小田部　岳雄,自家多血小板血漿(Platelet Rich Plasma(PRP))を用いた口腔内組織の再生医療,東京形成歯科研究会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
かねしげ歯科,愛知県名古屋市守山区下志段味濁り池1682-1,愛知県,小澤　謙盛,自家多血小板フィブリン（PRF）を用いた顎骨増生,医療法人岡田歯科医院認定再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
三谷歯科診療所,香川県高松市内町1-5,香川県,院長　三谷　明弘,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
吉田歯科医院,大阪府堺市堺区向陵東町3-5-19,大阪府,院長　吉田　忠司,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
おてき歯科医院,鹿児島県出水市上知識町７０３,鹿児島,院長　樗木 浩,自己血由来成分CGFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
新橋烏森通り歯科,東京都港区西新橋2-6-3 越後屋ビル1階,東京都,院長　大槻　武司,自己血由来成分PRFを利用した口腔内組織の再生医療,医療法人社団順朋会再生医療等委員会,頭部 (目(眼)/鼻/耳/口/歯/歯肉/顎/喉/脳/顔/毛髪/首/など),濃縮した血小板を用いる治療,治療
